,phi_h,Ti,Ta,phi_s
76500.0,3030.3030303030305,299.4512210801594,270.725,0.0
77400.0,3030.3030303030305,299.39735785225037,270.6,0.0
78300.0,3030.3030303030305,299.391562420228,270.475,0.0
79200.0,3030.3030303030305,299.3974075249424,270.35,0.0
80100.0,3030.3030303030305,299.40755414457,270.2659722221666,0.0
81000.0,3030.3030303030305,299.4225904808713,270.208333333,0.0
81900.0,3030.3030303030305,299.44269576931924,270.14513888883334,0.0
82800.0,3030.3030303030305,299.4654908825507,270.05,0.0
83700.0,3030.3030303030305,299.4869077780933,269.8879629631666,0.0
84600.0,3030.3030303030305,299.50598205302055,269.711111111,0.0
85500.0,3030.3030303030305,299.52359431747783,269.52685185183327,0.0
86400.0,3030.3030303030305,299.5403140376528,269.35,0.0
87300.0,3030.3030303030305,299.5564607872751,269.18061342600004,0.0
88200.0,3030.3030303030305,299.57204248824553,269.011805556,0.0
89100.0,3030.3030303030305,299.58710396666737,268.868460648,0.0
90000.0,3030.3030303030305,299.6019536058577,268.75,0.0
90900.0,3030.3030303030305,299.617022980785,268.697981771,0.0
91800.0,3030.3030303030305,299.63266840052296,268.67265625,0.0
92700.0,3030.3030303030305,299.6488493583415,268.66555989566666,0.0
93600.0,3030.3030303030305,299.6652168981409,268.65,0.0
94500.0,3030.3030303030305,299.6813131512054,268.61424334466665,0.0
95400.0,3030.3030303030305,299.6969735760265,268.573871528,0.0
96300.0,3030.3030303030305,299.71215832531675,268.5175853586667,0.0
97200.0,3030.3030303030305,299.726762343293,268.45,0.0
98100.0,3030.3030303030305,299.7402725947427,268.21157407383333,0.0
99000.0,3030.3030303030305,299.7506678654733,267.86111111099996,0.0
99900.0,3030.3030303030305,299.75741433743354,267.4699074071667,0.0
100800.0,3030.3030303030305,299.7620649013848,267.15,0.0
101700.0,3030.3030303030305,299.7670475873841,267.00650871433334,0.0
102600.0,3030.3030303030305,299.773419059523,266.902287582,0.0
103500.0,3030.3030303030305,299.780703896084,266.7965413943333,0.0
104400.0,3030.3030303030305,299.7878906101506,266.65,0.0
105300.0,3030.3030303030305,299.7936287571491,266.35144761016664,0.0
106200.0,3030.3030303030305,299.79667931134054,265.99788602900003,0.0
107100.0,3030.3030303030305,299.7973624867889,265.6790670955,0.0
108000.0,3030.3030303030305,299.79731986544954,265.45,0.0
108900.0,3030.3030303030305,299.7985734986575,265.3648667278333,0.0
109800.0,3030.3030303030305,299.8012890593423,265.29255514700003,0.0
110700.0,3030.3030303030305,299.80472364921957,265.2252068011667,0.0
111600.0,3030.3030303030305,299.8083341196938,265.15,0.0
112500.0,3030.3030303030305,300.2030881750172,265.0345588235,0.0
113400.0,3030.3030303030305,300.3080828714137,264.905882353,0.0
114300.0,3030.3030303030305,300.3587498207921,264.80661764683333,0.0
115200.0,3030.3030303030305,300.3956643912021,264.75,0.0
116100.0,3030.3030303030305,300.040935564263,264.80737179466666,0.0
117000.0,3030.3030303030305,299.96502411861775,264.907692308,0.0
117900.0,3030.3030303030305,299.94199718862023,265.0362179486666,0.0
118800.0,3030.3030303030305,299.9337333882259,265.15,0.0
119700.0,3030.3030303030305,299.932138807339,265.2265135326667,0.0
120600.0,3030.3030303030305,299.9344268715423,265.297863248,0.0
121500.0,3030.3030303030305,299.9393533287654,265.37063746466663,0.0
122400.0,3030.3030303030305,299.94637670145556,265.45,0.0
123300.0,3030.3030303030305,300.3481854988362,265.62883597866664,0.0
124200.0,3030.3030303030305,300.46591397963516,265.86587301599997,0.0
125100.0,3030.3030303030305,300.5356448631138,266.0923280426666,2.2307692307683338
126000.0,3030.3030303030305,300.5963458156962,266.25,6.153846153849999
126900.0,3030.3030303030305,300.26780596789234,266.28260073266665,11.307692307708333
127800.0,3030.3030303030305,300.215392883541,266.293956044,16.0
128700.0,3030.3030303030305,300.6013906720022,266.276007326,19.662545787516667
129600.0,3030.3030303030305,300.710655386041,266.25,23.274725274699996
130500.0,0.0,298.44018268443614,266.204079254,26.703754578783332
131400.0,0.0,298.07642335619374,266.148251748,30.0
132300.0,0.0,297.83193630273547,266.0935897433334,32.372767857166664
133200.0,0.0,297.6458604814187,266.05,34.0089285714
134100.0,0.0,297.4938458631738,266.05859375,34.30580357143333
135000.0,0.0,297.370463914136,266.101988636,34.0
135900.0,0.0,297.2751049433275,266.210724432,32.78348214288333
136800.0,0.0,297.2019364071028,266.35,31.2053571429
137700.0,0.0,297.1297460334263,266.61035156233334,28.823660714283335
138600.0,0.0,297.04622433328416,266.93359375,26.0
139500.0,0.0,296.9552484214955,267.2677734376667,22.5634920635
140400.0,0.0,296.8628128388823,267.55,19.0238095238
141300.0,0.0,296.31100597383585,267.7228515623333,15.468253968233334
142200.0,0.0,296.06182365703205,267.86890625,12.0
143100.0,0.0,295.8858872124407,267.9690234376667,8.222222222221667
